title,title_id,genre,authors,weekdays,length,subscribers,views,likes,status,synopsis,rating,year
Falling into Your Hands,7039,ROMANCE,SU momo,MONDAY,Short,28193,477175,32084,ONGOING,"Miao Caichun, perempuan yang terobsesi dengan tangan indah seniornya ditolak!!
Tapi tak apa, karena ternyata ada Gu Lidun, yang tangannya pun indah, yang sudah memerhatikan Caichun sejak dulu.
Bertemu lagi setelah dewasa, sepertinya semesta mempertemukan mereka kembali.
Apalagi setelah Caichun ditolak oleh lelaki sampah, Gu Lidun kini berperan sebagai pacar yang akan mengajari Caichun bagaimana caranya memilih lelaki yang benar!
Bagaimana jadinya dinamika hubungan cinta dua orang ini...?",5,2024
For the Princess Who Will Disappear,7038,ROMANTIC FANTASY,"Rimha, Migi, 942",SATURDAY,Short,87117,1712247,128777,COMPLETED,"Apakah mungkin jika aku yang hidup berdampingan dengan para pencuri jalanan ini, sebenarnya adalah seorang putri...?

Sasha tumbuh besar di sebuah gang kumuh kecil yang dipenuhi pencuri jalanan. Namun karena salah menjual sebuah kalung, Ia malah masuk ke keluarga kekaisaran?!

Inilah kisah cinta antara 'Sasha', seorang putri cerdas dan berani dari sisi yang gelap, dan 'Lascan', Duke berdarah dingin yang diam-diam melindungi Sasha!",5,2024
My Virtual God is a Teenage Girl,7037,DRAMA,"Park Jang Go, Yi Woo",SUNDAY,Medium,37267,1220973,115653,ONGOING,"Meski hidup Jumin penuh ketidakberuntungan, ia tetap mampu sukses dan bahagia bersama istri dan anaknya... hingga pada suatu hari, semua itu direnggut darinya, dan sebuah 'sosok' yang bisa mengontrolnya muncul. Ternyata, selama ini Jumin adalah karakter dalam game simulasi yang dimainkan oleh anak SMA! Dengan sekali klik, anak tersebut dapat membuat apa pun terjadi di dunia Jumin berada. Tak tahan lagi ditindas bagai boneka, Jumin bertekad untuk terbebas dari game simulasi bagaimanapun caranya!",5,2024
Locked Up by My Mad Dog,7036,ROMANTIC FANTASY,"Choi Hwain, Hangaga, Eun GaVit",SUNDAY,Short,143875,2041045,106547,ONGOING,"Masuk ke dalam tubuh  Elizabeth Cretian membuatku kebingungan! Apalagi setelah tahu bahwa selain memiliki Carsis sebagai ""pengawal"" yang melayaninya siang malam, Elizabeth juga ternyata mempunyai kehidupan yang janggal.
Sebenarnya hidup seperti apa yang dijalaninya selama ini?! Kenapa begini?!",5,2024
Love Roasting,7035,ROMANCE,"I SOON KI, I YE RIN",FRIDAY,Medium,90835,1429557,98822,COMPLETED,"Dua pasangan tiba di Pulau Jeju yang indah! Pasangan berusia 20-an yang muda dan berapi-api serta pasangan berusia 30-an yang terjebak dalam dilema hidup. Keduanya bertemu dan menghadapi konflik, menaklukkan bimbang, juga menjalani berbagai proses pendewasaan. Apakah Jeju akan membantu merekatkan, atau malah... menambah rintangan?",5,2024
All for My Dearest Juliet,7034,ROMANTIC FANTASY,"sam mil sam, Nessa, Getaway Car",THURSDAY,Medium,135932,3304219,263894,ONGOING,"Akibat sakit-sakitan seumur hidupnya, Juliet tak bisa menjalani hidup 'biasa' sebagai seorang putri Kerajaan Rosenta. Sebersit kebahagiaan menghampirinya saat ia bertemu dengan seorang pelayan dari delegasi Kekaisaran Nassant, dan menghabiskan waktu dengannya. Namun, kebahagiannya tidak berlangsung lama, karena Juliet ternyata akan dinikahkan dengan Grand Duke dari Herventel, Enoch Letrachi, yang selama ini ia kira pelayan. Bisakah Juliet mencintai pria tersebut, di saat ia tak lagi bisa percaya padanya?",5,2024
This is a Campus Romance Series,7031,ROMANCE,Kite,SATURDAY,Medium,45314,1208834,99744,ONGOING,"Lee Hayun, anak kuliahan yang biasa-biasa saja, sudah lama nggak jatuh cinta. Pada suatu hari, ia memutuskan untuk jalan-jalan spontan seorang diri, tapi malah ketemu cowok bernama Kangon... yang langsung mengajak Hayun pacaran di hari pertama mereka bertemu! Hayun menolaknya, namun kemudian dia bertemu Kangon lagi di universitasnya. Bukan hanya itu, tiba-tiba muncul cowok lain lagi yang tertarik pada Hayun! Cowok manakah yang akan berhasil meraih cinta Hayun?",5,2024
It Wasn't Love at First Sight,7030,ROMANCE,IM,WEDNESDAY,Medium,61647,1767695,145044,HIATUS,"Seo Eunjae, cucu dari keluarga konglomerat yang dikenal sebagai anak baik-baik dengan jalan hidup yang baik pula harus dijodohkan dengan lelaki yang memiliki reputasi sebagai ""pembunuh"", Yoon Siwoo, karena sang sepupu yang mendorongnya ke dalam situasi itu.
Setelah dijalani, sepertinya Siwoo laki-laki yang baik? Apa reputasi dan rumor yang beredar itu salah? Atau... apa yang dilihat Eunjae yang salah?",5,2024
The Heir,7029,ACTION,"Dongwoo Han, Dohee Lee",TUESDAY,Medium,132794,3929081,359988,ONGOING,"Jin Taeha adalah penerus 'Cheongu', salah satu konglomerat terkemuka di Korea. Saat tengah berlayar dengan kapal pesiar bersama keluarganya, mereka diserang oleh teroris, dan hanya Jin Taeha yang berhasil selamat.

Setelah menyadari bahwa pembantaian tersebut bukan kecelakaan melainkan perebutan kekuasaan kerabatnya, Jin Taeha pun bergabung dengan mafia Italia, 'Keluarga Salerno', untuk mempersiapkan pembalasan dendamnya.

Tujuh belas tahun kemudian, Jin Taeha kembali ke Korea untuk menjalankan misi balas dendamnya.",5,2024
My Child Will Have a Different Father,7028,ROMANTIC FANTASY,"Team Chung-Yeon, TAPAHA, Paganjang",MONDAY,Short,188213,4711545,320691,ONGOING,"“Aku tidak akan percaya cinta di kehidupan kali ini.”

Hinael Flake, putri Kerajaan Salle, dibunuh oleh Cether Phil saat sedang hamil anak mereka. Beruntung, dia mendapatkan kesempatan kedua dan kembali ke masa dua tahun sebelum dia menikah dengan Cether.

Demi menghindari masa depan yang malang,
dia mengubah nasibnya dan memilih pria lain untuk menjadi suaminya. Pilihannya jatuh kepada Lutz Viant, pangeran kedua kekaisaran Tricas yang dikenal sebagai iblis perang.

“Di kehidupan kali ini, aku pasti akan melindungi anakku yang kumiliki dengan pria lain.”",5,2024
Who Did I Sleep With?,7027,ROMANCE,"hot mandarin, HAMJANG",SUNDAY,Short,35145,663811,31916,HIATUS,"3 tersangka, 1 pelaku. Siapa yang sebenarnya ada bersamaku semalam?!",5,2024
Back to Chanbi,7026,ROMANCE,jang sawhee,FRIDAY,Short,56377,968830,90010,ONGOING,"Kang Gyunoh menjalani kehidupan SMA-nya dengan berbunga-bunga. Pasalnya, Baek Chanbi yang adalah gadis tercantik di kelasnya, menunjukkan ketertarikan padanya. Walau keduanya belum mengungkapkan perasaan masing-masing, Gyunoh merasa puas dengan diam-diam menerima perhatian dari Chanbi.

Namun, siapa sangka Chanbi mengalami kecelakaan yang menyebabkan dirinya kehilangan ingatan selama setahun terakhir, termasuk soal perasaannya pada Gyunoh! Mampukah Gyunoh membuat Chanbi jatuh cinta padanya lagi? Atau perasaannya itu akan berakhir bertepuk sebelah tangan?

Tapi... apa benar mereka saling menyukai sejak awal?",5,2024
"Oversummoned, Overpowered, and Over It!",7025,FANTASY,"Saitosa, Tsugutoku",THURSDAY,Medium,71878,2550916,149733,ONGOING,"Inori Takafuji adalah seorang siswa SMA biasa yang dipanggil ke dunia lain beserta teman-teman sekelasnya.

Saat dia sedang menantikan kehidupan barunya, tiba-tiba lingkaran sihir muncul lagi di bawah kakinya, dan dia kembali dipanggil secara mendadak ke dunia lain!

Setelah berpindah dunia berulang kali, Inori mendapatkan banyak kemampuan luar biasa setingkat tokoh utama.

",5,2024
Terminal Betrayal,7024,ROMANCE,nasio8,MONDAY,Short,18486,709614,46827,ONGOING,"Seorang arsitek muda, Aoi Kosaka, menjalani kehidupan bahagia sebagai suami dari wanita cantik bernama Mitsuki dan ayah dari seorang anak laki-laki bernama Ren. Namun, suatu hari Aoi didiagnosis menderita kanker pankreas stadium 4 dengan perkiraan sisa hidup hanya tiga bulan. Demi keluarganya, Aoi berjuang keras untuk sembuh. Akan tetapi, bak sudah jatuh tertimpa tangga, ia justru menemukan kenyataan pahit: istrinya berselingkuh dengan seorang pengusaha kaya! Mampukah Aoi mempertahankan hidupnya sekaligus menyelamatkan keluarganya?",5,2024
